"","mapbiomas.none.2002","n","area_ha"
"1",0,94377860,8494007.4
"2",3,22401397,2016125.73
"3",4,451990,40679.1
"4",5,7,0.63
"5",9,2849020,256411.8
"6",12,335760,30218.4
"7",13,15327,1379.43
"8",15,59450103,5350509.27
"9",19,57316,5158.44
"10",21,10670853,960376.77
"11",23,114,10.26
"12",24,369748,33277.32
"13",25,132823,11954.07
"14",29,719512,64756.08
"15",30,8775,789.75
"16",32,7,0.63
"17",33,576579,51892.11
"18",NA,13263229,1193690.61
