"","mapbiomas.none.1990","n","area_ha"
"1",0,94377860,8494007.4
"2",3,23247437,2092269.33
"3",4,487859,43907.31
"4",5,17,1.53
"5",9,2228951,200605.59
"6",12,322570,29031.3
"7",13,10402,936.18
"8",15,57527185,5177446.65
"9",19,4178,376.02
"10",20,17,1.53
"11",21,12601643,1134147.87
"12",23,345,31.05
"13",24,278873,25098.57
"14",25,108308,9747.72
"15",29,647052,58234.68
"16",30,4487,403.83
"17",32,15,1.35
"18",33,569992,51299.28
"19",NA,13263229,1193690.61
