"","mapbiomas.none.1997","n","area_ha"
"1",0,94377860,8494007.4
"2",3,22928325,2063549.25
"3",4,458443,41259.87
"4",5,5,0.45
"5",9,3068966,276206.94
"6",12,333100,29979
"7",13,12762,1148.58
"8",15,56719151,5104723.59
"9",19,72834,6555.06
"10",20,77,6.93
"11",21,12802926,1152263.34
"12",23,163,14.67
"13",24,305966,27536.94
"14",25,113671,10230.39
"15",29,650189,58517.01
"16",30,4341,390.69
"17",32,1,0.09
"18",33,568411,51156.99
"19",NA,13263229,1193690.61
