"","mapbiomas.none.1988","n","area_ha"
"1",0,94377860,8494007.4
"2",3,23657064,2129135.76
"3",4,454948,40945.32
"4",5,39,3.51
"5",9,1959735,176376.15
"6",12,318387,28654.83
"7",13,9157,824.13
"8",15,57969754,5217277.86
"9",19,7480,673.2
"10",21,12061994,1085579.46
"11",23,537,48.33
"12",24,264862,23837.58
"13",25,108016,9721.44
"14",29,643916,57952.44
"15",30,4922,442.98
"16",32,11,0.99
"17",33,578509,52065.81
"18",NA,13263229,1193690.61
