"","mapbiomas.none.1986","n","area_ha"
"1",0,94377860,8494007.4
"2",3,24421435,2197929.15
"3",4,481057,43295.13
"4",5,26,2.34
"5",9,1611128,145001.52
"6",12,314545,28309.05
"7",13,13326,1199.34
"8",15,58131136,5231802.24
"9",19,12878,1159.02
"10",21,11545064,1039055.76
"11",23,415,37.35
"12",24,227625,20486.25
"13",25,119071,10716.39
"14",29,576141,51852.69
"15",30,4720,424.8
"16",32,13,1.17
"17",33,580751,52267.59
"18",NA,13263229,1193690.61
