"","mapbiomas.none.2013","n","area_ha"
"1",0,94377860,8494007.4
"2",3,23909234,2151831.06
"3",4,432129,38891.61
"4",5,5,0.45
"5",9,3869040,348213.6
"6",12,336635,30297.15
"7",13,9365,842.85
"8",15,53458875,4811298.75
"9",19,233392,21005.28
"10",20,852,76.68
"11",21,13827679,1244491.11
"12",23,230,20.7
"13",24,475824,42824.16
"14",25,117426,10568.34
"15",29,738282,66445.38
"16",30,9309,837.81
"17",32,7,0.63
"18",33,621047,55894.23
"19",NA,13263229,1193690.61
