"","mapbiomas.none.2000","n","area_ha"
"1",0,94377860,8494007.4
"2",3,22424170,2018175.3
"3",4,435162,39164.58
"4",5,8,0.72
"5",9,2966123,266951.07
"6",12,333131,29981.79
"7",13,14806,1332.54
"8",15,58993532,5309417.88
"9",19,82343,7410.87
"10",20,414,37.26
"11",21,11025418,992287.62
"12",23,55,4.95
"13",24,346905,31221.45
"14",25,126119,11350.71
"15",29,709982,63898.38
"16",30,5296,476.64
"17",32,8,0.72
"18",33,575859,51827.31
"19",NA,13263229,1193690.61
