"","mapbiomas.none.2015","n","area_ha"
"1",0,94377860,8494007.4
"2",3,23234717,2091124.53
"3",4,412348,37111.32
"4",5,13,1.17
"5",9,4112393,370115.37
"6",12,323841,29145.69
"7",13,8961,806.49
"8",15,51989680,4679071.2
"9",19,556687,50101.83
"10",20,2040,183.6
"11",21,15392976,1385367.84
"12",23,257,23.13
"13",24,499623,44966.07
"14",25,130600,11754
"15",29,752744,67746.96
"16",30,8089,728.01
"17",32,1,0.09
"18",33,614361,55292.49
"19",NA,13263229,1193690.61
