"","mapbiomas.none.1995","n","area_ha"
"1",0,94377860,8494007.4
"2",3,22810425,2052938.25
"3",4,488332,43949.88
"4",5,11,0.99
"5",9,2936534,264288.06
"6",12,328098,29528.82
"7",13,11752,1057.68
"8",15,56447982,5080318.38
"9",19,48412,4357.08
"10",21,13362654,1202638.86
"11",23,388,34.92
"12",24,299889,26990.01
"13",25,107123,9641.07
"14",29,624171,56175.39
"15",30,4342,390.78
"16",32,8,0.72
"17",33,569210,51228.9
"18",NA,13263229,1193690.61
