"","mapbiomas.none.2004","n","area_ha"
"1",0,94377860,8494007.4
"2",3,22587831,2032904.79
"3",4,454470,40902.3
"4",5,19,1.71
"5",9,2894134,260472.06
"6",12,353981,31858.29
"7",13,17651,1588.59
"8",15,59769166,5379224.94
"9",19,20828,1874.52
"10",21,10152440,913719.6
"11",23,101,9.09
"12",24,364746,32827.14
"13",25,126469,11382.21
"14",29,711139,64002.51
"15",30,6151,553.59
"16",32,8,0.72
"17",33,580197,52217.73
"18",NA,13263229,1193690.61
