"","mapbiomas.none.1994","n","area_ha"
"1",0,94377860,8494007.4
"2",3,22922870,2063058.3
"3",4,483065,43475.85
"4",5,9,0.81
"5",9,2847211,256248.99
"6",12,318794,28691.46
"7",13,13732,1235.88
"8",15,57215086,5149357.74
"9",19,30321,2728.89
"10",21,12605982,1134538.38
"11",23,217,19.53
"12",24,298013,26821.17
"13",25,105718,9514.62
"14",29,624809,56232.81
"15",30,4210,378.9
"16",32,8,0.72
"17",33,569286,51235.74
"18",NA,13263229,1193690.61
