"","Class","area_ha","Percentage"
"1","Formação Florestal ",2494391.67,"28.32"
"2","Formação Savânica ",368581.68,"4.18"
"3","Mangue ",0.54,"0"
"4","Formação Campestre ",0.09,"0"
"5","Outras Formações não Florestais ",596.7,"0.01"
"6","Outras Áreas não Vegetadas",14291.19,"0.16"
"7","Afloramento Rochoso ",36582.66,"0.42"
"8","Rio Lago e Oceano",57494.61,"0.65"
