"","Class","area_ha","Percentage"
"1","Formação Florestal ",2414943.72,"27.42"
"2","Formação Savânica ",534832.02,"6.07"
"3","Formação Campestre ",0.27,"0"
"4","Outras Formações não Florestais ",529.47,"0.01"
"5","Outras Áreas não Vegetadas",11353.05,"0.13"
"6","Afloramento Rochoso ",50336.19,"0.57"
"7","Rio Lago e Oceano",63943.56,"0.73"
