"","mapbiomas.none.2009","n","area_ha"
"1",0,94284189,8485577.01
"2",3,23689182,2132026.38
"3",4,437173,39345.57
"4",5,8,0.72
"5",9,3437782,309400.38
"6",12,342382,30814.38
"7",13,16567,1491.03
"8",15,55464518,4991806.62
"9",19,192309,17307.81
"10",20,3783,340.47
"11",21,12416793,1117511.37
"12",23,207,18.63
"13",24,442692,39842.28
"14",25,112788,10150.92
"15",29,726821,65413.89
"16",30,5395,485.55
"17",32,5,0.45
"18",33,613886,55249.74
