"","mapbiomas.none.1994","n","area_ha"
"1",0,94284189,8485577.01
"2",3,22885609,2059704.81
"3",4,481569,43341.21
"4",5,9,0.81
"5",9,2845131,256061.79
"6",12,317810,28602.9
"7",13,13710,1233.9
"8",15,57136785,5142310.65
"9",19,30260,2723.4
"10",21,12590731,1133165.79
"11",23,217,19.53
"12",24,297891,26810.19
"13",25,105704,9513.36
"14",29,624265,56183.85
"15",30,4214,379.26
"16",32,8,0.72
"17",33,568378,51154.02
