"","mapbiomas.none.1997","n","area_ha"
"1",0,94284189,8485577.01
"2",3,22893364,2060402.76
"3",4,457067,41136.03
"4",5,5,0.45
"5",9,3066537,275988.33
"6",12,332088,29887.92
"7",13,12748,1147.32
"8",15,56637590,5097383.1
"9",19,72670,6540.3
"10",20,78,7.02
"11",21,12788987,1151008.83
"12",23,162,14.58
"13",24,305825,27524.25
"14",25,113656,10229.04
"15",29,649653,58468.77
"16",30,4349,391.41
"17",32,1,0.09
"18",33,567511,51075.99
