"id","classe","n_cel_2016","area_ha_2016"
"1",0,94284189,8485577.01
"2",3,22951277,2065614.93
"3",4,401854,36166.86
"4",5,11,0.99
"5",9,4167773,375099.57
"6",12,322293,29006.37
"7",13,8186,736.74
"8",15,51536298,4638266.82
"9",19,574821,51733.89
"10",20,1264,113.76
"11",21,15930454,1433740.86
"12",23,228,20.52
"13",24,507531,45677.79
"14",25,140935,12684.15
"15",29,753234,67791.06
"16",30,7401,666.09
"17",32,1,0.09
"18",33,598730,53885.7
