"","mapbiomas.none.2003","n","area_ha"
"1",0,94284189,8485577.01
"2",3,22408072,2016726.48
"3",4,449924,40493.16
"4",5,17,1.53
"5",9,2901413,261127.17
"6",12,338918,30502.62
"7",13,16342,1470.78
"8",15,59668347,5370151.23
"9",19,51536,4638.24
"10",21,10277754,924997.86
"11",23,131,11.79
"12",24,366715,33004.35
"13",25,115543,10398.87
"14",29,720522,64846.98
"15",30,8754,787.86
"16",32,7,0.63
"17",33,578296,52046.64
