"","mapbiomas.none.1996","n","area_ha"
"1",0,94284189,8485577.01
"2",3,22830173,2054715.57
"3",4,463629,41726.61
"4",5,16,1.44
"5",9,3042238,273801.42
"6",12,324818,29233.62
"7",13,11951,1075.59
"8",15,56270277,5064324.93
"9",19,67971,6117.39
"10",21,13262277,1193604.93
"11",23,448,40.32
"12",24,309164,27824.76
"13",25,111259,10013.31
"14",29,637231,57350.79
"15",30,4398,395.82
"16",33,566441,50979.69
