"","mapbiomas.none.2001","n","area_ha"
"1",0,94284189,8485577.01
"2",3,22274651,2004718.59
"3",4,439535,39558.15
"4",5,1,0.09
"5",9,2953638,265827.42
"6",12,336741,30306.69
"7",13,15995,1439.55
"8",15,59238803,5331492.27
"9",19,82378,7414.02
"10",20,181,16.29
"11",21,10769249,969232.41
"12",23,53,4.77
"13",24,365026,32852.34
"14",25,122434,11019.06
"15",29,723215,65089.35
"16",30,5445,490.05
"17",32,7,0.63
"18",33,574939,51744.51
