"","mapbiomas.none.1999","n","area_ha"
"1",0,94284189,8485577.01
"2",3,22329798,2009681.82
"3",4,431731,38855.79
"4",5,8,0.72
"5",9,3072731,276545.79
"6",12,337135,30342.15
"7",13,12824,1154.16
"8",15,58222532,5240027.88
"9",19,77197,6947.73
"10",20,332,29.88
"11",21,11695391,1052585.19
"12",23,147,13.23
"13",24,324262,29183.58
"14",25,127071,11436.39
"15",29,692074,62286.66
"16",30,6493,584.37
"17",32,8,0.72
"18",33,572557,51530.13
