"id","classe","n_cel_2018","area_ha_2018"
"1",0,94295885,8486629.65
"2",3,21605637,1944507.33
"3",4,175792,15821.28
"4",5,6,0.54
"5",9,4444487,400003.83
"6",12,327071,29436.39
"7",13,25017,2251.53
"8",15,49428067,4448526.03
"9",19,801524,72137.16
"10",20,1566,140.94
"11",21,19025901,1712331.09
"12",23,101,9.09
"13",24,567650,51088.5
"14",25,152871,13758.39
"15",29,784209,70578.81
"16",30,4148,373.32
"17",32,0,0
"18",33,546548,49189.32
