"","mapbiomas.none.1986","n","area_ha"
"1",0,94284189,8485577.01
"2",3,24382607,2194434.63
"3",4,479406,43146.54
"4",5,26,2.34
"5",9,1609412,144847.08
"6",12,313595,28223.55
"7",13,13306,1197.54
"8",15,58054649,5224918.41
"9",19,12875,1158.75
"10",21,11529474,1037652.66
"11",23,414,37.26
"12",24,227477,20472.93
"13",25,119018,10711.62
"14",29,575491,51794.19
"15",30,4717,424.53
"16",32,13,1.17
"17",33,579811,52182.99
