"","mapbiomas.none.2013","n","area_ha"
"1",0,94284189,8485577.01
"2",3,23880378,2149234.02
"3",4,430690,38762.1
"4",5,5,0.45
"5",9,3864419,347797.71
"6",12,335654,30208.86
"7",13,9346,841.14
"8",15,53381729,4804355.61
"9",19,232935,20964.15
"10",20,847,76.23
"11",21,13805663,1242509.67
"12",23,228,20.52
"13",24,475666,42809.94
"14",25,117368,10563.12
"15",29,737891,66410.19
"16",30,9303,837.27
"17",32,7,0.63
"18",33,620162,55814.58
