"","my_class2","area_ha","Percentage"
"1","Agricultura",73752.3,"25.14"
"2","Água",5779.53,"1.97"
"3","Área natural",71682.03,"24.43"
"4","Área urbana",1023.93,"0.35"
"5","Outros",627.57,"0.21"
"6","Pastagem ",134323.38,"45.78"
"7","Silvicultura",6225.03,"2.12"
