"","my_class2","area_ha","Percentage"
"1","Agricultura",101621.34,"10.69"
"2","Água",2866.86,"0.3"
"3","Área natural",532727.64,"56.02"
"4","Área urbana",393.3,"0.04"
"5","Mineração",893.97,"0.09"
"6","Outros",1596.69,"0.17"
"7","Pastagem ",298483.38,"31.39"
"8","Silvicultura",12334.86,"1.3"
