"","my_class2","area_ha","Percentage"
"1","Agricultura",92110.41,"9.69"
"2","Água",3597.3,"0.38"
"3","Área natural",528416.82,"55.57"
"4","Área urbana",2268.09,"0.24"
"5","Mineração",1442.34,"0.15"
"6","Outros",890.82,"0.09"
"7","Pastagem ",272942.82,"28.7"
"8","Silvicultura",49249.44,"5.18"
