"","my_class2","area_ha","Percentage"
"1","Agricultura",170893.44,"17.43"
"2","Água",2593.08,"0.26"
"3","Área natural",219258.81,"22.37"
"4","Área urbana",904.41,"0.09"
"5","Outros",679.41,"0.07"
"6","Pastagem ",585729.36,"59.76"
"7","Silvicultura",146.79,"0.01"
