"","my_class2","area_ha","Percentage"
"1","Agricultura",1621184.31,"18.75"
"2","Água",63943.56,"0.74"
"3","Área natural",3000650.49,"34.7"
"4","Área urbana",49732.92,"0.58"
"5","Mineração",10459.62,"0.12"
"6","Outros",11353.05,"0.13"
"7","Pastagem ",3601104.57,"41.64"
"8","Silvicultura",289862.73,"3.35"
