"","my_class2","area_ha","Percentage"
"1","Agricultura",260266.05,"11.46"
"2","Água",6999.3,"0.31"
"3","Área natural",789866.01,"34.79"
"4","Área urbana",2254.5,"0.1"
"5","Outros",1745.73,"0.08"
"6","Pastagem ",1184158.71,"52.16"
"7","Silvicultura",24883.38,"1.1"
