"","my_class2","area_ha","Percentage"
"1","Agricultura",77314.59,"29.42"
"2","Água",694.98,"0.26"
"3","Área natural",59998.95,"22.83"
"4","Área urbana",1260.09,"0.48"
"5","Outros",290.43,"0.11"
"6","Pastagem ",120694.32,"45.93"
"7","Silvicultura",2544.75,"0.97"
