"","my_class2","area_ha","Percentage"
"1","Agricultura",80260.2,"11.24"
"2","Água",6405.48,"0.9"
"3","Área natural",135404.01,"18.96"
"4","Área urbana",1403.55,"0.2"
"5","Outros",1679.76,"0.24"
"6","Pastagem ",485692.83,"68.02"
"7","Silvicultura",3172.32,"0.44"
