"","my_class2","area_ha","Percentage"
"1","Agricultura",100614.78,"15.1"
"2","Água",20957.76,"3.14"
"3","Área natural",163864.17,"24.59"
"4","Área urbana",1645.2,"0.25"
"5","Outros",728.01,"0.11"
"6","Pastagem ",375703.92,"56.38"
"7","Silvicultura",2913.93,"0.44"
