"","my_class2","area_ha","Percentage"
"1","Agricultura",1110432.78,"12.84"
"2","Água",57494.61,"0.66"
"3","Área natural",2900173.14,"33.53"
"4","Área urbana",16759.62,"0.19"
"5","Mineração",8024.67,"0.09"
"6","Outros",14291.19,"0.17"
"7","Pastagem ",4467409.83,"51.66"
"8","Silvicultura",73705.41,"0.85"
