"","my_class2","area_ha","Percentage"
"1","Agricultura",142089.39,"19.9"
"2","Água",6551.55,"0.92"
"3","Área natural",159606.81,"22.35"
"4","Área urbana",4681.17,"0.66"
"5","Outros",1114.2,"0.16"
"6","Pastagem ",385408.17,"53.98"
"7","Silvicultura",14566.86,"2.04"
