"","my_class2","area_ha","Percentage"
"1","Agricultura",47046.69,"8.29"
"2","Água",3117.96,"0.55"
"3","Área natural",306013.95,"53.94"
"4","Área urbana",16239.69,"2.86"
"5","Mineração",7448.31,"1.31"
"6","Outros",1820.16,"0.32"
"7","Pastagem ",126312.57,"22.26"
"8","Silvicultura",59359.77,"10.46"
