"","my_class2","area_ha","Percentage"
"1","Agricultura",258745.32,"13.79"
"2","Água",8509.32,"0.45"
"3","Área natural",556947.27,"29.69"
"4","Área urbana",1883.43,"0.1"
"5","Mineração",1273.14,"0.07"
"6","Outros",3618.36,"0.19"
"7","Pastagem ",1035195.12,"55.18"
"8","Silvicultura",9781.83,"0.52"
