"","my_class2","area_ha","Percentage"
"1","Agricultura",36539.91,"12.45"
"2","Água",5801.04,"1.98"
"3","Área natural",76953.33,"26.23"
"4","Área urbana",349.29,"0.12"
"5","Outros",186.66,"0.06"
"6","Pastagem ",173470.77,"59.12"
"7","Silvicultura",112.77,"0.04"
