"","my_class2","area_ha","Percentage"
"1","Agricultura",300596.4,"13.24"
"2","Água",9083.34,"0.4"
"3","Área natural",880131.42,"38.77"
"4","Área urbana",6864.48,"0.3"
"5","Outros",2048.94,"0.09"
"6","Pastagem ",999286.47,"44.02"
"7","Silvicultura",72162.63,"3.18"
