"","my_class2","area_ha","Percentage"
"1","Agricultura",44963.19,"7.92"
"2","Água",2612.97,"0.46"
"3","Área natural",329247.9,"58.03"
"4","Área urbana",7514.28,"1.32"
"5","Mineração",5833.44,"1.03"
"6","Outros",3727.71,"0.66"
"7","Pastagem ",153183.87,"27"
"8","Silvicultura",20275.74,"3.57"
