"","my_class2","area_ha","Percentage"
"1","Agricultura",43451.01,"16.53"
"2","Água",618.21,"0.24"
"3","Área natural",63815.85,"24.28"
"4","Área urbana",382.59,"0.15"
"5","Outros",245.97,"0.09"
"6","Pastagem ",154273.23,"58.7"
"7","Silvicultura",11.25,"0"
