"","my_class2","area_ha","Percentage"
"1","Agricultura",299295.72,"30.53"
"2","Água",3237.66,"0.33"
"3","Área natural",219300.39,"22.37"
"4","Área urbana",3260.88,"0.33"
"5","Outros",1307.97,"0.13"
"6","Pastagem ",443957.22,"45.29"
"7","Silvicultura",9845.46,"1"
