"","Class_En","area_ha","Percentage"
"1","Forest Formation",2766096.81,"31.39"
"2","Savanna Formation",108613.35,"1.23"
"3","Wetland",7843.5,"0.09"
"4","Grassland",41042.43,"0.47"
"5","Other non Forest Formations",1334.79,"0.02"
"6","Other non Vegetated Areas",8929.44,"0.1"
"7","Rocky Outcrop",107372.25,"1.22"
"8","River, Lake and Ocean",65827.98,"0.75"
"9","Wooded Restinga",1087.92,"0.01"
