"","Class","area_ha","Percentage"
"1","Formação Florestal ",2766096.81,"31.39"
"2","Formação Savânica ",108613.35,"1.23"
"3","Campo Alagado e Área Pantanosa ",7843.5,"0.09"
"4","Formação Campestre ",41042.43,"0.47"
"5","Outras Formações não Florestais ",1334.79,"0.02"
"6","Outras Áreas não Vegetadas",8929.44,"0.1"
"7","Afloramento Rochoso ",107372.25,"1.22"
"8","Rio Lago e Oceano",65827.98,"0.75"
"9","Restinga Arborizada",1087.92,"0.01"
