"","my_class","area_ha","Percentage"
"1","Agricultura",258745.32,"13.79"
"2","Agua",8509.32,"0.45"
"3","Area natural",2325.33,"0.12"
"4","Area urbana",1883.43,"0.1"
"5","Floresta",554621.94,"29.56"
"6","Mineracao",1273.14,"0.07"
"7","Outros",3618.36,"0.19"
"8","Pastagem ",1035195.12,"55.18"
"9","Silvicultura",9781.83,"0.52"
