"","my_class","area_ha","Percentage"
"1","Agricultura",100614.78,"15.1"
"2","Água",20957.76,"3.14"
"3","Área natural",10045.62,"1.51"
"4","Área urbana",1645.2,"0.25"
"5","Floresta",153818.55,"23.08"
"6","Outros",728.01,"0.11"
"7","Pastagem ",375703.92,"56.38"
"8","Silvicultura",2913.93,"0.44"
