"","my_class","area_ha","Percentage"
"1","Agricultura",77314.59,"29.42"
"2","Água",694.98,"0.26"
"3","Área natural",2852.01,"1.09"
"4","Área urbana",1260.09,"0.48"
"5","Floresta",57146.94,"21.75"
"6","Outros",290.43,"0.11"
"7","Pastagem ",120694.32,"45.93"
"8","Silvicultura",2544.75,"0.97"
