"","my_class","area_ha","Percentage"
"1","Agricultura",299295.72,"30.53"
"2","Agua",3237.66,"0.33"
"3","Area natural",9136.8,"0.93"
"4","Area urbana",3260.88,"0.33"
"5","Floresta",210163.59,"21.44"
"6","Outros",1307.97,"0.13"
"7","Pastagem ",443957.22,"45.29"
"8","Silvicultura",9845.46,"1"
