"","my_class","area_ha","Percentage"
"1","Agricultura",170893.44,"17.43"
"2","Água",2593.08,"0.26"
"3","Área natural",6773.31,"0.69"
"4","Área urbana",904.41,"0.09"
"5","Floresta",212485.5,"21.68"
"6","Outros",679.41,"0.07"
"7","Pastagem ",585729.36,"59.76"
"8","Silvicultura",146.79,"0.01"
