"","my_class","area_ha","Percentage"
"1","Agricultura",142089.39,"19.9"
"2","Agua",6551.55,"0.92"
"3","Area natural",1191.33,"0.17"
"4","Area urbana",4681.17,"0.66"
"5","Floresta",158415.48,"22.19"
"6","Outros",1114.2,"0.16"
"7","Pastagem ",385408.17,"53.98"
"8","Silvicultura",14566.86,"2.04"
