"","my_class","area_ha","Percentage"
"1","Agricultura",260266.05,"11.46"
"2","Agua",6999.3,"0.31"
"3","Area natural",2628.18,"0.12"
"4","Area urbana",2254.5,"0.1"
"5","Floresta",787237.83,"34.68"
"6","Outros",1745.73,"0.08"
"7","Pastagem ",1184158.71,"52.16"
"8","Silvicultura",24883.38,"1.1"
