"","my_class","area_ha","Percentage"
"1","Agricultura",47046.69,"8.29"
"2","Agua",3117.96,"0.55"
"3","Area natural",11227.86,"1.98"
"4","Area urbana",16239.69,"2.86"
"5","Floresta",294786.09,"51.96"
"6","Mineracao",7448.31,"1.31"
"7","Outros",1820.16,"0.32"
"8","Pastagem ",126312.57,"22.26"
"9","Silvicultura",59359.77,"10.46"
