"","my_class","area_ha","Percentage"
"1","Agricultura",43451.01,"16.53"
"2","Água",618.21,"0.24"
"3","Área natural",2274.75,"0.87"
"4","Área urbana",382.59,"0.15"
"5","Floresta",61541.1,"23.42"
"6","Outros",245.97,"0.09"
"7","Pastagem ",154273.23,"58.7"
"8","Silvicultura",11.25,"0"
