"","my_class","area_ha","Percentage"
"1","Agricultura",300596.4,"13.24"
"2","Agua",9083.34,"0.4"
"3","Area natural",3260.88,"0.14"
"4","Area urbana",6864.48,"0.3"
"5","Floresta",876870.54,"38.63"
"6","Outros",2048.94,"0.09"
"7","Pastagem ",999286.47,"44.02"
"8","Silvicultura",72162.63,"3.18"
