"","my_class","area_ha","Percentage"
"1","Agricultura",92110.41,"9.69"
"2","Agua",3597.3,"0.38"
"3","Area natural",3285.45,"0.35"
"4","Area urbana",2268.09,"0.24"
"5","Floresta",525131.37,"55.22"
"6","Mineracao",1442.34,"0.15"
"7","Outros",890.82,"0.09"
"8","Pastagem ",272942.82,"28.7"
"9","Silvicultura",49249.44,"5.18"
