"","my_class","area_ha","Percentage"
"1","Agricultura",101621.34,"10.69"
"2","Agua",2866.86,"0.3"
"3","Area natural",1901.43,"0.2"
"4","Area urbana",393.3,"0.04"
"5","Floresta",530826.21,"55.82"
"6","Mineracao",893.97,"0.09"
"7","Outros",1596.69,"0.17"
"8","Pastagem ",298483.38,"31.39"
"9","Silvicultura",12334.86,"1.3"
