"","my_class","area_ha","Percentage"
"1","Agricultura",36539.91,"12.45"
"2","Água",5801.04,"1.98"
"3","Área natural",1705.5,"0.58"
"4","Área urbana",349.29,"0.12"
"5","Floresta",75247.83,"25.65"
"6","Outros",186.66,"0.06"
"7","Pastagem ",173470.77,"59.12"
"8","Silvicultura",112.77,"0.04"
