"","my_class","area_ha","Percentage"
"1","Agricultura",209211.84,"31.39"
"2","Água",21869.73,"3.28"
"3","Área natural",11129.67,"1.67"
"4","Área urbana",4838.31,"0.73"
"5","Floresta",149929.56,"22.5"
"6","Outros",1051.11,"0.16"
"7","Pastagem ",242135.73,"36.33"
"8","Silvicultura",26261.82,"3.94"
