"","my_class","area_ha","Percentage"
"1","Agricultura",44963.19,"7.92"
"2","Agua",2612.97,"0.46"
"3","Area natural",7631.91,"1.35"
"4","Area urbana",7514.28,"1.32"
"5","Floresta",321615.99,"56.69"
"6","Mineracao",5833.44,"1.03"
"7","Outros",3727.71,"0.66"
"8","Pastagem ",153183.87,"27"
"9","Silvicultura",20275.74,"3.57"
