"","my_class","area_ha","Percentage"
"1","Agricultura",80260.2,"11.24"
"2","Água",6405.48,"0.9"
"3","Área natural",888.39,"0.12"
"4","Área urbana",1403.55,"0.2"
"5","Floresta",134515.62,"18.84"
"6","Outros",1679.76,"0.24"
"7","Pastagem ",485692.83,"68.02"
"8","Silvicultura",3172.32,"0.44"
