"","my_class","area_ha","Percentage"
"1","Agricultura",1621184.31,"18.75"
"2","Água",63943.56,"0.74"
"3","Área natural",50874.75,"0.59"
"4","Área urbana",49732.92,"0.58"
"5","Floresta",2949775.74,"34.11"
"6","Mineracao",10459.62,"0.12"
"7","Outros",11353.05,"0.13"
"8","Pastagem ",3601104.57,"41.64"
"9","Silvicultura",289862.73,"3.35"
