"","my_class","area_ha","Percentage"
"1","Agricultura",73752.3,"25.14"
"2","Água",5779.53,"1.97"
"3","Área natural",2022.57,"0.69"
"4","Área urbana",1023.93,"0.35"
"5","Floresta",69659.46,"23.74"
"6","Outros",627.57,"0.21"
"7","Pastagem ",134323.38,"45.78"
"8","Silvicultura",6225.03,"2.12"
