"","my_class","area_ha","Percentage"
"1","Agricultura",180604.98,"14.77"
"2","Água",27351.63,"2.24"
"3","Área natural",14025.87,"1.15"
"4","Área urbana",2377.08,"0.19"
"5","Floresta",290607.12,"23.77"
"6","Outros",1160.64,"0.09"
"7","Pastagem ",703447.29,"57.54"
"8","Silvicultura",3037.95,"0.25"
