"","mapbiomas.2018.763","n","area_ha"
"1",0,1,0.09
"2",3,567417,51067.53
"3",4,126,11.34
"4",9,49985,4498.65
"5",15,7545832,679124.88
"6",19,82,7.38
"7",21,2337200,210348
"8",24,38451,3460.59
"9",25,10617,955.53
"10",29,40238,3621.42
"11",30,57,5.13
"12",33,62743,5646.87
"13",NA,16699587,1502962.83
